Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
Mastercard Inc.,,MA.N,,,MA,Mastercard Inc.
Mattel,Consumer Discretionary,MAT.N,,,MAT,Mattel Inc.
McCormick & Company,Consumer Staples,MKC.N,,,MKC,McCormick & Co.
McDonald's,Consumer Discretionary,MCD.N,,,MCD,McDonald's Corp.
McGraw-Hill,Consumer Discretionary,MHFI.N,,,MHFI,McGraw Hill Financial
McKesson,Health Care,MCK.N,,,MCK,McKesson Corp.
Mead Johnson,,MJN.N,,,MJN,Mead Johnson
MeadWestvaco,Materials,MWV.N,,,MWV,MeadWestvaco Corporation
Medtronic,Health Care,MDT.N,,,MDT,Medtronic Inc.
Merck,Health Care,MRK.N,,,MRK,Merck & Co.
MetLife,Financials,MET.N,,,MET,MetLife Inc.
Microchip Technology,Information Technology,MCHP.N,,,MCHP,Microchip Technology
Micron Technology,Information Technology,MU.N,,,MU,Micron Technology
Microsoft,Information Technology,,MSFT.O,,MSFT,Microsoft Corp.
Mohawk Industries,,MHK.N,,,MHK,Mohawk Industries
Molson Coors Brewing,Consumer Staples,TAP.N,,,TAP,Molson Coors Brewing Company
Mondelez International,,,MDLZ.O,,MDLZ,Mondelez International
Monsanto,Materials,MON.N,,,MON,Monsanto Co.
Monster Worldwide,Industrials,,MNST.O,,MNST,Monster Beverage
Moody's,Financials,MCO.N,,,MCO,Moody's Corp
Morgan Stanley,Financials,MS.N,,,MS,Morgan Stanley
The Mosaic Company,,MOS.N,,,MOS,The Mosaic Company
Motorola Solutions Inc.,,MSI.N,,,MSI,Motorola Solutions Inc.
Murphy Oil,Energy,MUR.N,,,MUR,Murphy Oil
Mylan,Health Care,MYL.N,,,MYL,Mylan Inc.
Nabors Industries,Energy,NBR.N,,,NBR,Nabors Industries Ltd.
NASDAQ OMX Group,,,NDAQ.O,,NDAQ,NASDAQ OMX Group
National Oilwell Varco,Energy,NOV.N,,,NOV,National Oilwell Varco Inc.
NetApp,,NTAP.O,,,NTAP,NetApp
NetFlix Inc.,,NFLX.O,,,NFLX,NetFlix Inc.
Newell Rubbermaid,Consumer Discretionary,NWL.N,,,NWL,Newell Rubbermaid Co.
Newfield Exploration Co,,NFX.N,,,NFX,Newfield Exploration Co
Newmont Mining,Materials,NEM.N,,,NEM,Newmont Mining Corp. (Hldg. Co.)
News Corporation,Consumer Discretionary,,NWSA.O,,NWSA,News Corporation
NextEra Energy Resources,,NEE.N,,,NEE,NextEra Energy Resources
Nielsen Holdings,,NLSN.N,,,NLSN,Nielsen Holdings
NIKE,Consumer Discretionary,NKE.N,,,NKE,NIKE Inc.
NiSource,Utilities,NI.N,,,NI,NiSource Inc.
Noble,Energy,NE.N,,,NE,Noble Corp
Noble Energy,Energy,NBL.N,,,NBL,Noble Energy Inc
Nordstrom,Consumer Discretionary,JWN.N,,,JWN,Nordstrom
Norfolk Southern Corp.,,NSC.N,,,NSC,Norfolk Southern Corp.
Northern Trust Corp.,,,NTRS.O,,NTRS,Northern Trust Corp.
Northrop Grumman Corp.,,NOC.N,,,NOC,Northrop Grumman Corp.
Northeast Utilities,,NU.N,,,NU,Northeast Utilities
NRG Energy,,NRG.N,,,NRG,NRG Energy
Nucor,Materials,NUE.N,,,NUE,Nucor Corp.
NVIDIA,Information Technology,,NVDA.O,,NVDA,Nvidia Corporation
Michael Kors,,KORS.N,,,KORS,Michael Kors
O'Reilly Automotive,,,ORLY.O,,ORLY,O'Reilly Automotive
Occidental Petroleum,Energy,OXY.N,,,OXY,Occidental Petroleum
Omnicom Group,Consumer Discretionary,OMC.N,,,OMC,Omnicom Group
ONEOK,,OKE.N,,,OKE,ONEOK
Oracle Corp.,,ORCL.N,,,ORCL,Oracle Corp.
Owens-Illinois Inc,,OI.N,,,OI,Owens-Illinois Inc
P G & E Corp.,,PCG.N,,,PCG,P G & E Corp.
PACCAR Inc.,,,PCAR.O,,PCAR,PACCAR Inc.
Pall,Industrials,PLL.N,,,PLL,Pall Corp.
Parker-Hannifin,Industrials,PH.N,,,PH,Parker-Hannifin
Patterson Companies,Health Care,,PDCO.O,,PDCO,Patterson Companies
Paychex,Information Technology,,PAYX.O,,PAYX,Paychex Inc.
Peabody Energy,Energy,BTU.N,,,BTU,Peabody Energy
Pentair Ltd.,,PNR.N,,,PNR,Pentair Ltd.
